Question,Answer,Category,Intent
"What is the admission process for B.Tech?","Admission to B.Tech is based on the GLAET score or CUET/JEE Main ranks followed by counseling.","Admissions","admission_process"
"How can I apply for admission?","You can apply online through the official university website by filling the form and paying the application fee.","Admissions","admission_apply"
"What is the eligibility criteria for B.Tech?","Candidates must have passed 10+2 with Physics and Mathematics and at least 50% marks.","Admissions","eligibility"
"Are there any scholarships available?","Yes scholarships are based on merit entrance scores and category.","Admissions","scholarship"
"Can I get direct admission in the second year?","Yes lateral entry is available for diploma or BSc students.","Admissions","lateral_entry"
"What documents are required during admission?","You need mark sheets transfer certificate Aadhaar card photos and entrance scorecard.","Admissions","documents"
"Is there a hostel facility for first-year students?","Yes separate hostels are available for students.","Admissions","hostel"
"What is the last date to apply for admission?","Admission deadlines vary check the official website.","Admissions","deadline"
"Can I cancel my admission and get a refund?","Yes refunds are processed as per UGC policy.","Admissions","refund"
"Where is the admission cell located?","It is in the main administrative block.","Admissions","location"
"How do I pay my semester fees?","Fees can be paid online through ERP using UPI net banking or cards.","Fees","fee_payment"
"What is the deadline for fee payment?","Fees must be paid before the semester starts.","Fees","fee_deadline"
"Is there a fine for late fee payment?","Yes a late fine is charged per day.","Fees","late_fee"
"Can I pay my tuition fees in installments?","Installments are allowed only with special approval.","Fees","installment"
"How can I download my fee receipt?","You can download it from ERP dashboard.","Fees","receipt"
"What is the hostel and mess fee structure?","Fees depend on room type and facilities.","Fees","hostel_fee"
"Does the college provide documents for an education loan?","Yes documents like fee letter and bonafide are provided.","Fees","loan"
"Are there any extra charges for bus facilities?","Yes transport fees are separate.","Fees","transport"
"What should I do if my fee payment fails but money is deducted?","Wait 24 hours then contact finance with proof.","Fees","payment_issue"
"Is the caution money refundable?","Yes it is refundable after course completion.","Fees","caution"
"When will the mid-semester exams begin?","Mid semester exams are usually in the 8th week.","Exams","exam_schedule"
"Where can I download my exam admit card?","Admit card is available on ERP before exams.","Exams","admit_card"
"What is the minimum passing marks criteria?","Minimum 30 percent in exam and 40 percent overall.","Exams","passing"
"What happens if I fail an exam?","You will have a backlog and must reappear.","Exams","backlog"
"How do I apply for re-evaluation of my answer sheet?","Apply through ERP with required fee.","Exams","reevaluation"
"Can I miss my internal exams due to medical reasons?","Submit medical proof to HOD.","Exams","medical"
"Where can I find the syllabus for my branch?","Available on website and LMS.","Exams","syllabus"
"When will the final semester results be declared?","Results come within 30 to 45 days.","Exams","result"
"How is my CGPA calculated?","It is based on credit weighted average.","Exams","cgpa"
"Are calculators allowed in the examination hall?","Non programmable calculators are allowed.","Exams","calculator"
"Where can I check my class timetable?","Timetable is available on ERP and notice board.","Timetable","timetable"
"What are the regular college timings?","College runs in two shifts, from 8 AM to 4:00 PM and 10 AM to 6 PM.","Timetable","timing"
"What is the minimum attendance requirement?","Minimum 75 percent attendance required.","Timetable","attendance"
"Where can I get the list of college holidays?","Available in academic calendar on website.","Timetable","holiday"
"What are the library timings?","Library is open from 8 AM to 8 PM.","Timetable","library"
"Can I change my branch after the first year?","Branch change depends on CGPA and availability.","Timetable","branch"
"How do I contact my Head of Department HOD?","Contact via email or visit during office hours.","Timetable","hod"
"I forgot my ERP password how do I reset it?","Use forgot password option and OTP.","Timetable","erp"
"How do I access the college WiFi?","Login using ID given on portal for net access and password.","Timetable","wifi"
"Are there any extra classes for weak students?","Yes remedial classes are provided.","Timetable","extra_classes"
"Where is the college located?","The college is located in Mathura Uttar Pradesh.","General","location"
"What is the dress code or uniform policy?","Uniform is required on specific days.","General","dress"
"Does the college have a medical dispensary?","Yes a 24/7 medical facility is available.","General","medical"
"How are the placement records of the college?","The college has good placement records.","General","placement"
"How can I join student clubs and societies?","Join through recruitment drives.","General","clubs"
"What are the sports facilities available?","Multiple sports facilities are available.","General","sports"
"How do I report an incident of ragging?","Report immediately to authorities.","General","ragging"
"I lost my ID card how do I get a new one?","Apply for duplicate ID card.","General","id"
"Where is the student grievance cell?","Located at DSW office.","General","grievance"
"Can I bring my personal vehicle to campus?","Yes for day scholars.","General","vehicle"
